MRKTTAG,PRDCTAG,SALESUNITS,SALESUNITS.OLD,SALESUNITS192OZEQUCASEBASIS,SALESUNITS192OZEQUCASEBASIS,AVERAGERETAILPRICE,pcACV,TOTALBASELINEUNITS,TOTALBASELINEdollars,NOPROMOPRICE,ANYFEATUREpcACV,ANYDISPLAYpcACV,ANYFETandDSPpcACV,ANYFETWODSPpcACV,ANYDSPWOFETpcACV,PRICEDECRUNITS,PRICEDECRPRICE,PRICEDECRpcACV,ANYFTDISCUMpcAC,WeekendingDate,WeekNumber
MRKT1,PRDT1,50.30526316,4779,3584,22060,4.62,95,3869,19129,4.97,0,42,0,0,42,421,4.48,8,0,20140719,28
MRKT1,PRDT1,51.35416667,4930,3698,22816,4.63,96,4663,23210,4.92,0,48,0,0,48,821,4.59,9,0,20140726,29
MRKT1,PRDT1,52.68421053,5005,3754,23133,4.62,95,4108,20389,4.92,0,45,0,0,45,474,4.6,8,0,20140802,30
MRKT1,PRDT1,53.75789474,5107,3830,23242,4.55,95,5073,25060,4.84,0,45,0,0,45,1186,4.46,20,0,20140809,31
MRKT1,PRDT1,53.1443299,5155,3866,23281,4.52,97,4803,23185,4.9,0,42,0,0,42,1350,4.12,23,0,20140816,32
MRKT1,PRDT1,54.25,5208,3906,23254,4.46,96,4577,22625,4.92,0,46,0,0,46,1520,4.3,26,0,20140823,33
MRKT1,PRDT1,51.94845361,5039,3779,22703,4.51,97,4252,20461,4.74,0,39,0,0,39,1377,4.24,27,0,20140830,34
MRKT1,PRDT1,53.58510638,5037,3778,22692,4.51,94,4086,19611,4.73,0,41,0,0,41,1376,4.35,28,0,20140906,35
MRKT1,PRDT1,53.20833333,5108,3831,22682,4.44,96,4598,22668,4.92,0,40,0,0,40,2437,4.32,36,0,20140913,36
MRKT1,PRDT1,53.96842105,5127,3845,22835,4.45,95,4114,19693,4.68,0,36,0,0,36,1188,4.17,26,0,20140920,37
MRKT1,PRDT1,52.06382979,4894,3671,21758,4.45,94,3841,18426,4.88,0,36,0,0,36,1493,4.35,31,0,20140927,38
MRKT1,PRDT1,54.47368421,5175,3881,23143,4.47,95,4122,19867,4.78,0,28,0,0,28,1713,4.44,27,0,20141004,39
MRKT1,PRDT1,53.375,5124,3843,23209,4.53,96,4075,19867,4.81,0,28,0,0,28,2119,4.38,34,0,20141011,40
MRKT1,PRDT1,48.12631579,4572,3429,20830,4.56,95,3910,19061,4.85,0,29,0,0,29,1520,4.48,27,0,20141018,41
MRKT1,PRDT1,49.57894737,4710,3533,21370,4.54,95,3826,19000,4.86,0,30,0,0,30,2112,4.46,33,0,20141025,42
MRKT1,PRDT1,48.4893617,4558,3419,20976,4.6,94,3997,18908,4.74,0,31,0,0,31,1209,4.33,21,0,20141101,43
MRKT1,PRDT1,47.44086022,4412,3309,20403,4.62,93,4026,19528,4.82,0,31,0,0,31,1036,4.26,17,0,20141108,44
MRKT1,PRDT1,44.16842105,4196,3147,19499,4.65,95,3451,17085,4.98,0,28,0,0,28,1704,4.52,30,0,20141115,45
MRKT1,PRDT1,41.33333333,3844,2883,18068,4.7,93,4026,19655,4.88,0,22,0,0,22,517,4.46,13,0,20141122,46
MRKT1,PRDT1,50.12631579,4762,3572,22293,4.68,95,4144,20367,4.85,0,22,0,0,22,1012,4.47,19,0,20141129,47
MRKT1,PRDT1,43.93684211,4174,3131,19738,4.73,95,3677,17809,4.86,0,32,0,0,32,931,4.38,15,0,20141206,48
MRKT1,PRDT1,44.37234043,4171,3128,19591,4.7,94,3726,18458,4.86,0,28,0,0,28,1254,4.67,22,0,20141213,49
MRKT1,PRDT1,43.03191489,4045,3034,19055,4.71,94,3942,19336,4.83,0,29,0,0,29,772,4.55,14,0,20141220,50
MRKT1,PRDT1,64.07142857,6279,4709,29380,4.68,98,3540,17411,4.86,0,31,0,0,31,1713,4.59,22,0,20141227,51
MRKT1,PRDT1,48.73684211,4630,3473,21853,4.72,95,4465,21874,4.78,0,0,0,0,0,1015,4.49,19,0,20150103,52
MRKT1,PRDT1,47.70212766,4484,3363,21151,4.72,94,3947,19087,4.92,0,0,0,0,0,1768,4.41,30,0,20150110,1
MRKT1,PRDT1,55.67021277,5233,3925,23129,4.42,94,4275,20334,4.73,0,0,0,0,0,2393,4.05,33,0,20150117,2
MRKT1,PRDT1,57.65625,5535,4151,24325,4.39,96,4902,23468,4.82,0,0,0,0,0,2934,4.01,31,0,20150124,3
MRKT1,PRDT1,54.85263158,5211,3908,22942,4.4,95,4753,22459,4.77,0,0,0,0,0,3367,4.2,35,0,20150131,4
MRKT1,PRDT1,58.5,5499,4124,24177,4.4,94,4013,19158,4.79,0,0,0,0,0,3066,4.09,38,0,20150207,5
MRKT1,PRDT1,60.35106383,5673,4255,24818,4.37,94,4259,20682,4.85,0,0,0,0,0,3632,4.11,44,0,20150214,6
MRKT1,PRDT1,59.49473684,5652,4239,24672,4.37,95,4395,21303,4.8,0,0,0,0,0,3552,4.11,43,0,20150221,7
MRKT1,PRDT1,63.58762887,6168,4626,26825,4.35,97,4285,20786,4.75,0,28,0,0,28,1949,4.22,24,0,20150228,8
MRKT1,PRDT1,63.18556701,6129,4597,26771,4.37,97,4106,19628,4.85,0,22,0,0,22,2324,4.23,37,0,20150307,9
MRKT1,PRDT1,63.3125,6078,4559,26167,4.31,96,4870,22911,4.83,0,23,0,0,23,1464,4.21,23,0,20150314,10
MRKT1,PRDT1,64.05208333,6149,4612,26451,4.3,96,5067,23589,4.74,0,26,0,0,26,1741,4.06,29,0,20150321,11
MRKT1,PRDT1,61.23157895,5817,4363,25519,4.39,95,4153,19822,4.88,0,36,0,0,36,1056,4.31,22,0,20150328,12
MRKT1,PRDT1,60.19587629,5839,4379,25722,4.41,97,4778,22104,4.87,0,37,0,0,37,1070,4.05,18,0,20150404,13
MRKT1,PRDT1,69.34375,6657,4993,29165,4.38,96,4054,19927,4.95,0,34,0,0,34,1246,4.33,20,0,20150411,14
MRKT1,PRDT1,60.80208333,5837,4378,25489,4.37,96,5595,26102,4.73,0,31,0,0,31,1322,4.09,21,0,20150418,15
MRKT1,PRDT1,66.15625,6351,4763,27784,4.37,96,4960,23460,4.83,0,28,0,0,28,1573,4.11,18,0,20150425,16
MRKT1,PRDT1,68.92783505,6686,5015,29055,4.35,97,6607,30696,4.69,0,29,0,0,29,1837,4.14,23,0,20150502,17
MRKT1,PRDT1,74.47916667,7150,5363,30559,4.27,96,5140,24778,4.73,0,28,0,0,28,3199,4.14,42,0,20150509,18
MRKT1,PRDT1,72.91666667,7000,5250,29442,4.21,96,5403,26505,4.91,0,25,0,0,25,2967,4.12,43,0,20150516,19
MRKT1,PRDT1,63.89583333,6134,4601,26147,4.26,96,5719,26718,4.83,0,29,0,0,29,2525,4.08,43,0,20150523,20
MRKT1,PRDT1,68.75,6600,4950,28033,4.25,96,4938,24169,4.73,0,29,0,0,29,2885,4.15,48,0,20150530,21
MRKT1,PRDT1,58.16666667,5584,4188,26001,4.66,96,4410,22178,5.01,0,23,0,0,23,2078,4.56,36,0,20150606,22
MRKT1,PRDT1,51.55670103,5001,3751,25088,5.02,97,5396,27087,5.25,0,23,0,0,23,1244,4.34,18,0,20150613,23
MRKT1,PRDT1,49.75257732,4826,3620,24298,5.03,97,4596,24074,5.2,0,28,0,0,28,784,4.23,17,0,20150620,24
MRKT1,PRDT1,47.60824742,4618,3464,23326,5.05,97,4267,22215,5.28,0,34,0,0,34,650,4.17,13,0,20150627,25
MRKT1,PRDT1,45.89690722,4452,3339,21696,4.87,97,3703,19002,4.86,0,32,0,0,32,1554,4.98,33,0,20150704,26
MRKT1,PRDT1,43.61458333,4187,3140,20090,4.8,96,4522,23167,4.74,0,28,0,0,28,1542,5.04,39,0,20150711,27
MRKT1,PRDT1,45.95833333,4412,3309,21077,4.78,96,4024,20232,4.74,0,22,0,0,22,2151,4.92,46,0,20150718,28
MRKT1,PRDT1,45.69473684,4341,3256,20849,4.8,95,4800,24191,4.82,0,23,0,0,23,2234,4.82,44,0,20150725,29
MRKT1,PRDT1,51.10416667,4906,3680,23172,4.72,96,5109,26186,4.81,0,29,0,0,29,2273,4.7,40,0,20150801,30
MRKT1,PRDT1,49.46808511,4650,3488,21037,4.52,94,4263,21410,4.74,0,28,0,0,28,2889,4.48,46,0,20150808,31
MRKT1,PRDT1,46.82978723,4402,3302,20164,4.58,94,4563,23535,4.74,0,22,0,0,22,2483,4.55,46,0,20150815,32
MRKT1,PRDT1,45.11578947,4286,3215,19934,4.65,95,4131,20895,4.9,0,22,0,0,22,2210,4.58,41,0,20150822,33
MRKT1,PRDT1,43.95789474,4176,3132,19560,4.68,95,4318,21464,4.9,0,13,0,0,13,1575,4.41,29,0,20150829,34
MRKT1,PRDT1,46.31958763,4493,3370,21248,4.73,97,4466,22408,4.98,0,14,0,0,14,1627,4.56,29,0,20150905,35
MRKT1,PRDT1,44.21052632,4200,3150,19888,4.74,95,3805,18618,4.87,0,19,0,0,19,976,4.41,22,0,20150912,36
MRKT1,PRDT1,45.80851064,4306,3229,20371,4.73,94,3864,18661,4.88,0,17,0,0,17,979,4.4,13,0,20150919,37
MRKT1,PRDT1,42.44680851,3990,2992,18796,4.71,94,4396,21597,5,0,19,0,0,19,1387,4.32,16,0,20150926,38
MRKT1,PRDT1,40.25263158,3824,2868,18213,4.76,95,3734,17781,4.81,0,15,0,0,15,470,4.5,6,0,20151003,39
MRKT1,PRDT1,42.71875,4101,3075,19495,4.75,96,4261,20484,4.85,0,8,0,0,8,600,4.37,9,0,20151010,40
MRKT1,PRDT1,41.92631579,3983,2988,18950,4.76,95,4126,19844,4.8,0,7,0,0,7,258,4.17,6,0,20151017,41
MRKT1,PRDT1,41.64210526,3956,2967,18771,4.74,95,4010,19396,4.8,0,7,0,0,7,141,4.26,6,0,20151024,42
MRKT1,PRDT1,39.27368421,3731,2798,17737,4.75,95,3294,16069,4.8,0,7,0,0,7,333,4.4,6,0,20151031,43
MRKT1,PRDT1,39.54255319,3717,2788,17054,4.59,94,4096,19529,4.87,0,7,0,0,7,1381,4.24,40,0,20151107,44
MRKT1,PRDT1,35.58241758,3238,2429,14529,4.49,91,3324,15744,4.85,0,5,0,0,5,1356,4.06,39,0,20151114,45
MRKT1,PRDT1,35.94505495,3271,2453,14742,4.51,91,3548,16710,4.68,0,12,0,0,12,858,3.98,38,0,20151121,46
MRKT1,PRDT1,42.53191489,3998,2999,17797,4.45,94,3401,16013,4.66,0,10,0,0,10,1023,3.86,36,0,20151128,47
MRKT1,PRDT1,34.01098901,3095,2321,14049,4.54,91,3401,16270,4.77,0,5,0,0,5,918,3.95,30,0,20151205,48
MRKT1,PRDT1,34.21978022,3114,2336,14130,4.54,91,3784,18063,4.73,0,10,0,0,10,942,4.07,33,0,20151212,49
MRKT1,PRDT1,32.71111111,2944,2208,13313,4.52,90,2986,14339,4.69,0,13,0,0,13,948,4.04,41,0,20151219,50
MRKT1,PRDT1,51.71578947,4913,3685,22000,4.48,95,3575,16804,4.62,0,12,0,0,12,1081,4.01,25,0,20151226,51
MRKT1,PRDT1,40.30107527,3748,2811,16831,4.49,93,3032,14001,4.54,0,11,0,0,11,1331,4.26,18,0,20160102,52
MRKT1,PRDT1,34.5326087,3177,2383,15203,4.79,92,3488,16278,4.83,0,13,0,0,13,198,4.18,12,0,20160109,1
MRKT1,PRDT1,34.0106383,3197,2398,15667,4.9,94,3281,16458,5.03,0,11,0,0,11,529,4.31,13,0,20160116,2
MRKT1,PRDT1,32.09677419,2985,2239,14629,4.9,93,2861,14426,5.02,0,8,0,0,8,439,4.24,15,0,20160123,3
MRKT1,PRDT1,33.68817204,3133,2350,15330,4.89,93,3526,17650,4.99,0,11,0,0,11,222,3.88,10,0,20160130,4
MRKT1,PRDT1,33.44680851,3144,2358,15367,4.89,94,3067,15322,4.95,0,15,0,0,15,185,3.92,10,0,20160206,5
MRKT1,PRDT1,31.17204301,2899,2174,14224,4.91,93,3583,18166,5.06,0,9,0,0,9,359,4.26,13,0,20160213,6
MRKT1,PRDT1,32.50537634,3023,2267,14846,4.91,93,2492,12560,5.02,0,9,0,0,9,342,4.43,13,0,20160220,7
MRKT1,PRDT1,31.0106383,2915,2186,14293,4.9,94,3451,17334,4.98,0,18,0,0,18,201,3.91,11,0,20160227,8
MRKT1,PRDT1,31.67708333,3041,2281,14973,4.92,96,2984,15081,4.96,0,11,0,0,11,277,4.41,14,0,20160305,9
MRKT1,PRDT1,36.52631579,3470,2603,17225,4.96,95,3546,17751,5,0,12,0,0,12,235,4.49,9,0,20160312,10
MRKT1,PRDT1,35.25263158,3349,2512,16946,5.06,95,2890,14538,5.07,0,13,0,0,13,255,4.93,10,0,20160319,11
MRKT1,PRDT1,35.10638298,3300,2475,16657,5.05,94,3105,16261,5.11,0,8,0,0,8,645,4.8,17,0,20160326,12
MRKT1,PRDT1,34.19354839,3180,2385,16048,5.05,93,3326,17365,5.09,0,9,0,0,9,503,4.83,18,0,20160402,13
MRKT1,PRDT1,33.95744681,3192,2394,16174,5.07,94,2946,15022,5.09,0,11,0,0,11,207,5.08,5,0,20160409,14
MRKT1,PRDT1,33.13978495,3082,2312,15590,5.06,93,3378,17492,5.08,0,16,0,0,16,538,5.08,13,0,20160416,15
MRKT1,PRDT1,36.49473684,3467,2600,17508,5.05,95,3108,16285,5.07,0,18,0,0,18,826,5.07,21,0,20160423,16
MRKT1,PRDT1,36.47368421,3465,2599,17513,5.05,95,3056,16007,5.06,0,16,0,0,16,712,5.05,20,0,20160430,17
MRKT1,PRDT1,33.5106383,3150,2363,15252,4.84,94,2965,15153,4.98,0,13,0,0,13,1698,4.7,48,0,20160507,18
MRKT1,PRDT1,34.17204301,3178,2384,14800,4.66,93,3016,15265,4.94,0,17,0,0,17,1337,4.46,44,0,20160514,19
MRKT1,PRDT1,29.01123596,2582,1936,12068,4.67,89,2852,14564,5.1,0,27,0,0,27,1202,4.44,45,0,20160521,20
MRKT1,PRDT1,33.45555556,3011,2258,13869,4.61,90,2938,14616,5.06,0,24,0,0,24,1299,4.37,39,0,20160528,21
MRKT1,PRDT1,32.86666667,2958,2219,13523,4.57,90,3002,14529,4.89,0,19,0,0,19,1285,4.3,35,0,20160604,22
MRKT1,PRDT1,33.68965517,2931,2198,13316,4.54,87,2806,14153,4.77,0,16,0,0,16,1038,4.19,34,0,20160611,23
MRKT1,PRDT1,33.86516854,3014,2261,13608,4.51,89,3397,17064,4.84,0,19,0,0,19,1140,4.23,41,0,20160618,24
MRKT1,PRDT1,36.36046512,3127,2345,14057,4.5,86,2721,13974,4.82,0,27,0,0,27,976,4.36,38,0,20160625,25
MRKT1,PRDT1,35.92682927,2946,2210,13253,4.5,82,3247,15752,4.68,0,22,0,0,22,1234,4.49,35,0,20160702,26
MRKT1,PRDT1,36.88235294,3135,2351,13938,4.45,85,3021,14761,4.62,0,20,0,0,20,1061,4.41,26,0,20160709,27
MRKT1,PRDT1,36.58139535,3146,2360,13948,4.43,86,3092,15013,3.97,0,28,0,0,28,1412,4.58,40,0,20160716,28
MRKT1,PRDT1,39,3432,2574,15093,4.4,88,2532,12125,4.55,0,27,0,0,27,913,4.45,25,0,20160723,29
MRKT1,PRDT1,38.25842697,3405,2554,14736,4.33,89,3403,16939,4.37,0,20,0,0,20,1772,4.34,47,0,20160730,30
MRKT1,PRDT1,37.28409091,3281,2461,14239,4.34,88,3063,14254,4.5,0,25,0,0,25,1743,4.25,38,0,20160806,31
MRKT1,PRDT1,37.82222222,3404,2553,14850,4.36,90,3410,16051,4.5,0,32,0,0,32,876,4.3,20,0,20160813,32
MRKT1,PRDT1,37.40217391,3441,2581,14910,4.33,92,3781,17921,4.51,0,28,0,0,28,947,4.27,27,0,20160820,33
MRKT1,PRDT1,39.60638298,3723,2792,16127,4.33,94,3793,17334,4.54,0,29,0,0,29,786,4.28,18,0,20160827,34
MRKT1,PRDT1,36.92553191,3471,2603,14987,4.32,94,3259,15385,4.48,0,23,0,0,23,832,4.31,24,0,20160903,35
MRKT1,PRDT1,40.80851064,3836,2877,17531,4.57,94,3697,17310,4.7,0,19,0,0,19,557,4.27,16,0,20160910,36
MRKT1,PRDT1,37.91578947,3602,2702,17331,4.81,95,3596,17412,4.86,0,17,0,0,17,674,4.65,19,0,20160917,37
MRKT1,PRDT1,37.39583333,3590,2693,16957,4.72,96,3133,15650,4.88,0,21,0,0,21,618,4.16,19,0,20160924,38
MRKT1,PRDT1,36.84375,3537,2653,16823,4.76,96,3275,16692,4.91,0,25,0,0,25,701,4.23,20,0,20161001,39
MRKT1,PRDT1,35.23157895,3347,2510,15960,4.77,95,3503,18171,5.02,0,20,0,0,20,1034,4.29,25,0,20161008,40
MRKT1,PRDT1,36.2,3439,2579,16361,4.76,95,3720,18895,4.95,0,21,0,0,21,798,4.24,23,0,20161015,41
MRKT1,PRDT1,37,3552,2664,17118,4.82,96,3379,17446,5,0,24,0,0,24,623,4.18,17,0,20161022,42
MRKT1,PRDT1,34.93684211,3319,2489,15974,4.81,95,3193,16624,4.91,0,25,0,0,25,757,4.44,21,0,20161029,43
MRKT1,PRDT1,35.48453608,3442,2582,16705,4.85,97,3110,15598,4.84,0,17,0,0,17,515,4.61,15,0,20161105,44
MRKT1,PRDT1,32.625,3132,2349,15176,4.85,96,3543,17699,4.82,0,20,0,0,20,342,4.65,17,0,20161112,45
MRKT1,PRDT1,32.05319149,3013,2260,14689,4.88,94,3428,17151,4.8,0,27,0,0,27,383,5.04,8,0,20161119,46
MRKT1,PRDT1,35.91578947,3412,2559,16520,4.84,95,3419,17231,4.76,0,26,0,0,26,445,5.05,10,0,20161126,47
MRKT1,PRDT1,30.59090909,2692,2019,13081,4.86,88,3155,15360,4.77,0,31,0,0,31,619,5.03,17,0,20161203,48
MRKT1,PRDT1,28.95348837,2490,1868,12091,4.86,86,2966,14817,4.72,0,31,0,0,31,261,5.17,14,0,20161210,49
MRKT1,PRDT1,28.45977011,2476,1857,11994,4.84,87,2506,12408,4.76,0,28,0,0,28,232,5,9,0,20161217,50
MRKT1,PRDT1,39.24418605,3375,2531,16240,4.81,86,3379,16447,4.77,0,17,0,0,17,311,4.94,10,0,20161224,51
MRKT1,PRDT1,43.30232558,3724,2793,18165,4.88,86,2737,13483,4.84,0,19,0,0,19,0,0,0,0,20161231,52
MRKT1,PRDT1,25.97560976,2130,1598,10284,4.83,82,2466,12174,4.83,0,23,0,0,23,93,3.55,2,0,20170107,1
MRKT1,PRDT1,30.96428571,2601,1951,12542,4.82,84,3154,15090,4.78,0,24,0,0,24,0,0,0,0,20170114,2
MRKT1,PRDT1,29.74117647,2528,1896,12245,4.84,85,2448,12017,4.86,0,23,0,0,23,149,3.95,3,0,20170121,3
MRKT1,PRDT1,26.17857143,2199,1649,10674,4.85,84,2337,11729,4.92,0,23,0,0,23,231,4,8,0,20170128,4
MRKT1,PRDT2,109.969697,10887,3833,18722,1.72,99,10830,19533,1.79,0,32,0,0,32,2869,1.48,20,0,20131109,44
MRKT1,PRDT2,105.3232323,10427,3671,17838,1.71,99,10612,18570,1.75,0,36,0,0,36,2062,1.52,19,0,20131116,45
MRKT1,PRDT2,98.12,9812,3455,16623,1.69,100,10280,18162,1.62,0,45,0,0,45,946,1.72,19,0,20131123,46
MRKT1,PRDT2,115.23,11523,4057,19521,1.69,100,9980,17622,1.71,0,43,0,0,43,2449,1.57,19,0,20131130,47
MRKT1,PRDT2,94.73,9473,3335,16008,1.69,100,9054,15936,1.7,0,43,0,0,43,1274,1.55,15,0,20131207,48
MRKT1,PRDT2,93.56,9356,3294,15693,1.68,100,9964,17122,1.64,0,43,0,0,43,932,1.62,10,0,20131214,49
MRKT1,PRDT2,97.96969697,9699,3415,16348,1.69,99,10487,18358,1.7,0,45,0,0,45,1310,1.67,15,0,20131221,50
MRKT1,PRDT2,140.38,14038,4943,23562,1.68,100,9209,16277,1.76,0,48,0,0,48,3909,1.46,23,0,20131228,51
MRKT1,PRDT2,118.1,11810,4158,19715,1.67,100,10512,18750,1.79,0,42,0,0,42,3651,1.5,25,0,20140104,52
MRKT1,PRDT2,105.04,10504,3698,17797,1.69,100,9741,17372,1.82,0,38,0,0,38,2830,1.51,22,0,20140111,1
MRKT1,PRDT2,108.87,10887,3833,18628,1.71,100,10468,18297,1.79,0,31,0,0,31,2122,1.4,17,0,20140118,2
MRKT1,PRDT2,105.14,10514,3702,18095,1.72,100,10080,18256,1.86,0,32,0,0,32,2940,1.54,23,0,20140125,3
MRKT1,PRDT2,123.7878788,12255,4315,20434,1.67,99,10990,19309,1.79,0,28,0,0,28,2679,1.41,20,0,20140201,4
MRKT1,PRDT2,108.33,10833,3814,18125,1.67,100,10782,18590,1.78,0,22,0,0,22,2676,1.39,19,0,20140208,5
MRKT1,PRDT2,129.06,12906,4544,21860,1.69,100,10023,17468,1.79,0,24,0,0,24,4354,1.49,26,0,20140215,6
MRKT1,PRDT2,107.53,10753,3786,17873,1.66,100,10029,17902,1.85,0,26,0,0,26,2616,1.39,16,0,20140222,7
MRKT1,PRDT2,105.12,10512,3701,18165,1.73,100,9788,17588,1.89,0,22,0,0,22,2523,1.5,13,0,20140301,8
MRKT1,PRDT2,101,10100,3556,17411,1.72,100,9194,16508,1.84,0,13,0,0,13,2705,1.58,22,0,20140308,9
MRKT1,PRDT2,98.8,9880,3479,16849,1.71,100,9351,16541,1.8,0,18,0,0,18,1897,1.56,14,0,20140315,10
MRKT1,PRDT2,95.04,9504,3346,16310,1.72,100,8624,15554,1.93,0,19,0,0,19,3453,1.47,23,0,20140322,11
MRKT1,PRDT2,97.77777778,9680,3408,16515,1.71,99,10720,19261,1.93,0,19,0,0,19,3474,1.54,25,0,20140329,12
MRKT1,PRDT2,103.23,10323,3635,17687,1.71,100,9247,16330,1.87,0,19,0,0,19,2669,1.54,24,0,20140405,13
MRKT1,PRDT2,101.989899,10097,3555,17108,1.69,99,8983,16100,1.87,0,24,0,0,24,3355,1.45,21,0,20140412,14
MRKT1,PRDT2,92.35353535,9143,3219,15445,1.69,99,10055,17852,1.88,0,27,0,0,27,3053,1.46,21,0,20140419,15
MRKT1,PRDT2,100.1717172,9917,3492,16966,1.71,99,8707,15371,1.83,0,18,0,0,18,2082,1.47,14,0,20140426,16
